gender,school,grade,parent_edu,ave_short_video_usage/day,exam_score
1,1,2,6,3,276.0
1,1,2,5,1,295.0
0,1,2,5,5,289.0
0,1,5,5,4,244.0
1,1,2,5,3,279.0
1,1,4,4,3,288.0
1,1,4,5,1,283.0
1,1,4,4,3,275.0
1,1,4,4,3,278.0
0,1,4,5,2,282.5
1,1,5,4,1,293.0
0,1,5,4,2,253.5
0,1,4,3,3,270.0
1,1,5,6,4,297.0
1,1,5,5,4,271.0
0,1,4,3,3,279.0
0,1,4,5,3,273.0
0,1,4,5,3,281.0
1,1,4,5,3,250.0
1,1,4,4,5,281.0
1,1,4,5,2,281.0
0,1,4,5,3,273.0
1,1,4,4,2,273.0
1,1,4,5,2,261.0
1,1,2,4,4,280.0
0,1,4,6,1,282.0
0,1,5,5,4,290.0
0,1,4,5,3,268.0
0,1,5,5,4,277.0
1,1,2,6,4,258.0
1,1,2,4,2,296.0
1,1,5,5,1,286.0
1,1,2,4,2,283.0
1,1,2,4,3,297.0
0,1,2,5,2,288.0
0,1,5,4,4,259.0
0,1,4,5,3,273.5
1,1,2,4,3,283.5
0,1,4,5,3,267.0
0,1,2,5,3,275.0
1,1,2,4,4,288.0
1,1,2,5,4,274.0
0,1,2,4,2,292.0
1,1,4,2,2,275.0
0,1,2,4,2,287.0
0,1,2,4,4,276.0
1,1,2,5,3,290.0
1,1,5,5,3,291.5
1,1,5,5,4,281.0
1,1,5,6,1,293.0
0,1,2,5,4,277.0
0,1,5,5,4,275.5
1,1,2,5,1,246.5
1,1,2,4,2,288.0
1,1,2,5,3,292.0
0,1,5,5,2,286.0
0,1,5,4,5,298.0
1,1,5,5,3,304.0
1,1,5,5,3,311.0
0,1,2,5,1,295.0
0,1,2,5,3,270.0
1,1,2,4,4,291.0
1,1,5,4,2,258.0
1,1,5,3,4,282.5
1,1,4,3,3,240.0
1,1,2,5,3,293.0
0,1,4,5,3,234.0
1,1,2,5,3,286.0
0,1,5,6,3,295.0
1,1,2,5,2,255.0
0,1,2,5,2,294.5
0,1,5,3,4,267.0
0,1,5,3,3,281.0
0,1,5,6,2,291.0
1,1,5,3,2,282.0
0,1,2,4,5,269.0
1,1,1,5,3,300.0
0,1,5,4,2,285.0
0,1,5,3,4,267.0
0,1,4,4,3,232.0
1,1,5,4,3,278.0
0,1,2,5,4,287.0
1,1,4,4,4,277.0
1,1,2,5,3,269.0
1,1,5,6,4,288.0
0,1,1,6,4,279.0
1,1,1,4,4,281.0
0,1,4,3,2,277.5
0,1,5,4,2,296.5
1,1,1,3,4,287.5
0,1,1,5,3,296.5
1,1,5,2,4,249.0
1,1,4,4,3,274.5
0,1,1,4,3,286.0
0,1,2,4,1,289.0
1,1,2,5,4,281.0
0,1,3,5,1,290.0
0,1,2,5,1,287.0
1,1,3,5,3,275.5
0,1,5,5,3,295.0
1,1,2,5,1,281.0
1,1,2,4,3,259.5
1,1,5,5,5,282.0
0,1,4,7,5,267.0
1,1,5,4,4,268.0
0,1,5,5,3,302.0
1,1,5,4,1,254.0
1,1,4,4,4,267.0
1,1,3,5,5,288.0
0,1,4,3,4,283.0
1,1,5,2,3,282.5
0,1,2,6,2,271.5
0,1,5,5,5,304.0
1,1,5,3,3,296.0
1,1,5,5,4,277.0
0,1,5,4,4,264.0
1,1,5,6,3,302.0
1,1,5,5,3,289.5
1,1,5,5,3,297.5
1,1,4,5,4,269.0
1,1,5,4,4,276.0
1,1,1,5,0,297.0
1,1,4,5,2,266.5
1,1,5,3,3,276.5
1,1,2,5,2,268.0
0,1,5,5,4,246.5
1,1,5,6,3,222.0
0,1,5,5,3,245.0
1,1,5,4,3,279.0
0,1,4,5,4,286.0
1,1,2,5,3,291.0
1,1,5,5,5,281.0
1,1,2,4,3,245.0
0,1,5,5,3,296.0
1,1,1,6,1,298.0
0,1,2,3,3,288.0
1,1,5,5,4,287.5
1,1,2,5,1,287.0
0,1,5,4,5,292.0
1,1,1,4,0,294.0
1,1,5,4,2,259.0
0,1,5,5,3,280.0
0,1,2,5,2,281.0
1,1,2,4,3,274.0
0,1,5,3,3,278.0
0,1,5,4,1,279.5
0,1,2,5,3,287.0
1,1,5,4,3,280.0
0,1,5,5,3,264.0
0,1,5,5,3,272.0
0,1,5,4,3,242.0
1,1,5,5,5,274.0
0,1,5,1,3,275.0
0,1,5,5,3,281.0
0,1,3,5,2,289.0
0,1,5,4,3,283.0
1,1,3,4,3,285.0
0,1,5,2,3,256.0
1,1,5,3,4,251.0
1,1,4,3,3,260.0
0,1,5,4,2,279.0
1,1,4,4,3,245.0
1,1,5,4,1,289.0
0,1,5,3,1,280.5
0,1,2,5,3,272.0
1,1,5,5,4,279.0
1,1,1,4,3,288.0
0,1,5,2,2,277.0
0,1,5,4,3,277.0
1,1,5,3,2,275.0
0,1,1,4,3,296.5
1,1,5,5,4,254.0
1,1,4,5,3,272.5
0,1,5,4,3,275.0
0,1,5,5,2,275.0
1,1,4,5,3,281.0
1,1,5,4,3,277.0
0,1,4,5,1,250.5
1,1,5,3,3,270.0
1,1,5,4,3,277.5
1,1,4,6,3,281.0
0,1,5,4,4,256.0
0,1,5,6,3,263.0
1,1,5,5,3,266.0
1,1,1,5,2,283.0
1,1,5,4,3,252.5
0,1,5,5,1,281.0
0,1,5,4,2,292.5
0,1,4,4,1,244.5
1,1,5,5,3,262.0
0,1,2,5,3,284.0
0,1,5,4,2,275.0
0,1,5,5,4,255.0
0,1,5,5,3,292.0
1,1,5,4,5,274.0
0,1,5,5,4,264.0
0,1,5,4,2,266.0
1,1,5,4,2,297.5
1,1,5,5,4,275.0
0,1,5,5,3,281.0
0,1,3,4,4,284.5
0,1,1,2,5,284.0
1,1,5,5,2,281.5
1,1,1,4,5,280.5
0,1,4,5,2,289.0
1,1,4,6,3,290.0
1,1,4,5,4,294.0
1,1,4,5,4,290.0
1,1,4,5,4,292.0
0,1,4,5,3,297.0
1,1,4,4,3,294.0
1,1,3,4,2,287.5
1,1,4,4,2,284.0
0,1,4,5,3,279.0
1,1,4,5,1,297.0
0,1,4,5,3,292.0
0,1,4,6,4,292.0
1,1,4,5,4,282.0
0,1,2,5,3,292.0
0,1,4,4,3,285.0
1,1,4,4,2,283.0
0,1,4,5,3,289.0
1,1,4,4,2,294.0
0,1,4,5,3,285.0
1,1,4,3,3,273.0
0,1,4,4,4,286.0
0,1,4,5,4,276.0
0,1,2,5,3,280.0
0,1,1,5,5,288.0
0,1,1,5,2,288.5
1,1,6,5,2,266.0
0,1,1,5,4,284.0
0,1,6,5,4,273.0
1,1,4,7,4,291.0
1,1,6,5,4,165.0
0,1,6,5,3,262.0
1,1,6,4,4,270.0
0,1,6,5,5,212.5
0,1,6,6,1,253.0
1,1,6,4,3,278.0
0,1,6,5,5,281.5
1,1,6,4,3,271.0
1,1,4,5,2,286.0
1,1,6,5,3,275.0
1,1,4,5,2,282.0
1,1,6,5,5,285.0
0,1,6,6,4,280.0
0,1,4,4,3,283.0
0,1,6,4,4,245.0
1,1,6,5,3,235.5
0,1,4,4,3,258.5
1,1,6,4,2,279.0
0,1,6,4,3,221.0
1,1,6,4,1,283.0
0,1,6,4,3,250.5
1,1,6,5,3,276.0
1,1,4,3,3,265.0
0,1,6,4,3,287.5
0,1,6,4,3,215.0
1,1,6,5,4,266.0
1,1,6,5,3,280.0
0,1,6,5,3,253.0
1,1,6,5,3,241.0
1,1,6,5,5,266.5
0,1,6,4,2,189.0
1,1,6,3,3,234.5
0,1,6,6,3,279.0
0,1,6,3,1,225.0
1,1,6,4,3,262.0
0,1,6,5,3,278.5
1,1,6,3,5,283.5
0,1,4,5,4,295.0
0,1,6,3,5,273.0
1,1,6,5,3,258.0
1,1,6,6,4,251.0
1,1,6,2,3,277.5
0,1,6,5,5,252.5
0,1,6,5,5,283.5
0,1,6,3,5,280.0
1,1,4,4,3,282.0
0,1,4,6,3,278.5
0,1,6,5,4,262.0
1,1,4,6,4,279.0
1,1,6,4,4,250.5
1,1,4,5,3,264.5
1,1,4,5,4,269.0
1,1,6,5,2,259.0
0,1,4,3,3,272.5
0,1,4,5,1,276.0
1,1,4,6,4,242.5
0,1,4,4,4,273.0
0,1,6,5,4,267.5
0,1,6,6,3,241.5
1,1,6,3,3,220.0
0,1,4,3,3,280.0
1,1,6,4,3,281.0
0,1,6,5,3,281.5
1,1,6,3,3,251.5
1,1,6,6,3,260.5
0,1,6,5,4,239.5
1,1,6,5,5,270.5
1,1,6,5,1,197.0
1,1,6,3,3,263.0
0,1,6,5,2,287.0
1,1,4,5,4,282.0
1,1,6,5,4,278.0
1,1,6,5,3,233.0
1,1,6,3,3,246.0
0,1,4,3,3,269.0
1,1,6,5,2,261.5
1,1,4,5,2,262.0
1,1,3,4,2,292.0
1,1,6,5,4,252.0
1,1,6,4,4,267.0
0,1,6,4,4,245.0
0,1,6,4,2,240.0
1,1,6,5,3,253.0
1,1,6,5,4,248.5
1,1,1,5,2,287.5
1,1,4,4,2,276.0
0,1,1,5,4,291.5
0,1,6,5,4,259.0
0,1,6,4,5,286.0
0,1,6,5,3,254.0
0,1,6,3,2,276.0
1,1,6,6,2,267.5
0,1,4,4,1,292.0
1,1,6,5,3,284.5
0,1,4,1,1,267.0
0,1,4,3,2,256.5
1,1,6,5,2,198.5
1,1,6,3,4,244.0
1,1,6,5,3,212.5
1,1,6,6,3,267.5
1,1,6,5,3,270.5
0,1,4,5,2,292.0
1,1,4,4,2,277.0
1,1,6,4,4,291.0
0,1,6,5,2,271.5
1,1,6,5,1,272.0
0,1,3,6,2,288.0
0,1,6,5,5,254.5
0,1,6,5,3,234.0
0,1,6,6,4,265.0
0,1,6,5,4,278.0
1,1,6,5,1,271.0
1,1,3,5,1,261.5
0,1,6,2,3,203.0
1,1,6,6,3,273.0
1,1,6,5,3,271.5
0,1,6,5,3,277.5
1,1,6,4,2,284.0
1,1,6,2,2,216.0
0,1,6,5,4,268.0
1,1,6,5,4,276.5
0,1,6,5,5,255.5
0,1,6,5,2,184.5
1,1,6,5,3,281.5
1,1,6,5,3,225.0
1,1,6,4,5,243.0
0,1,6,5,1,253.5
1,1,6,5,3,263.0
0,1,6,6,5,247.0
1,1,6,5,1,246.0
1,1,6,3,5,207.5
0,1,6,4,5,249.0
0,1,6,4,4,260.5
0,1,6,2,1,264.0
0,1,6,2,5,266.0
1,1,6,5,3,269.5
1,1,6,3,3,270.5
0,1,6,5,3,282.0
1,1,6,5,3,259.0
1,1,3,1,3,288.0
1,1,6,5,2,276.0
1,1,6,4,5,253.5
1,1,2,5,4,282.5
0,1,6,4,4,283.0
1,1,6,3,5,190.5
0,1,6,5,2,214.0
0,1,2,5,2,282.0
1,1,2,4,3,283.5
0,1,2,5,3,292.0
1,1,6,4,3,197.5
0,1,2,5,4,293.0
0,1,2,5,4,293.5
1,1,6,3,3,278.0
0,1,6,5,5,282.0
1,1,2,3,3,275.0
0,1,2,6,3,281.5
1,1,6,3,5,274.0
1,1,6,3,3,282.0
1,1,2,4,3,273.0
1,1,6,5,1,236.5
1,1,2,4,3,282.0
1,1,2,5,4,292.0
0,1,1,5,4,291.0
1,1,6,4,3,284.0
0,1,2,5,3,277.0
0,1,2,3,4,283.5
1,1,6,4,2,261.5
1,1,2,5,3,283.5
1,1,2,6,4,275.0
1,1,2,5,2,288.0
1,1,6,5,4,267.0
0,1,6,5,4,278.0
1,1,3,4,3,265.0
1,1,3,4,2,292.5
0,1,1,5,3,294.0
1,1,3,4,2,281.0
1,1,4,5,3,277.0
1,1,1,6,2,297.5
1,1,1,3,4,280.0
1,1,3,4,2,284.0
0,1,3,5,2,284.5
1,1,3,5,3,289.0
1,1,3,5,2,285.0
0,1,2,5,3,291.5
1,1,2,5,4,278.0
0,1,1,5,3,296.0
0,1,2,4,3,280.0
0,1,2,5,2,284.0
1,1,2,4,2,283.0
1,1,1,6,5,255.0
0,1,2,5,4,281.5
0,1,2,6,3,286.0
1,1,4,6,3,276.0
1,1,3,5,3,288.5
1,1,2,5,3,275.0
1,1,2,5,3,278.0
0,1,2,4,4,287.0
0,1,4,5,3,275.0
0,1,2,5,2,286.0
1,1,1,4,3,290.5
1,1,2,5,4,287.0
1,1,2,5,1,284.0
0,1,3,5,2,271.0
1,1,2,5,4,275.0
1,1,2,5,3,279.5
1,1,2,4,3,290.0
0,1,2,5,3,288.0
1,1,5,4,2,272.0
0,1,6,5,3,249.0
1,1,2,5,2,281.5
1,1,5,5,1,257.5
0,1,5,5,2,292.5
0,1,5,5,3,284.0
1,1,5,4,3,284.5
1,1,1,6,3,292.0
1,1,6,5,5,291.5
0,1,2,5,2,285.0
1,1,5,5,4,245.0
0,1,3,5,2,288.5
0,1,5,5,3,278.0
0,1,5,5,4,263.0
1,1,3,5,1,291.0
1,1,6,4,3,276.5
1,1,6,4,3,270.0
1,1,5,1,3,289.0
0,1,1,5,1,294.5
1,1,6,4,3,239.5
0,1,1,4,3,280.5
1,1,5,4,2,290.0
0,1,2,4,3,277.0
0,1,6,5,2,285.0
1,1,1,5,1,289.5
1,1,6,2,3,217.0
1,1,3,4,3,276.5
0,1,6,4,5,241.5
1,1,5,4,4,288.5
1,1,6,3,4,220.5
1,1,5,6,2,283.0
0,1,3,5,4,278.5
0,1,1,5,2,292.0
1,1,1,5,4,296.0
1,1,1,6,4,296.0
1,1,5,5,2,289.0
0,1,1,5,3,287.5
1,1,1,5,4,292.0
0,1,5,6,4,270.0
1,1,1,5,3,293.5
1,1,1,6,5,292.5
0,1,5,5,3,257.5
0,1,1,5,4,292.5
1,1,1,4,4,277.5
0,1,5,5,4,289.0
1,1,1,5,4,289.0
0,1,1,4,3,299.0
1,1,6,5,4,222.0
0,1,6,4,3,238.0
1,1,5,4,3,276.5
1,1,5,4,3,254.5
0,1,6,5,3,257.0
1,1,5,4,2,272.5
1,1,5,5,3,299.0
0,1,5,6,3,220.0
1,1,5,4,4,272.0
1,1,2,5,3,284.0
1,1,5,5,3,282.0
0,1,5,3,3,286.5
0,1,5,5,4,304.0
1,1,5,4,5,278.0
1,1,3,5,1,294.5
1,1,1,6,2,292.0
0,1,5,5,2,296.0
1,1,5,5,4,290.0
1,1,5,6,2,287.0
1,1,5,5,4,302.0
1,1,5,4,2,253.0
0,1,5,4,3,269.5
1,1,5,3,4,304.0
1,1,1,5,3,295.5
0,1,5,5,2,286.5
0,1,1,4,5,290.5
1,1,5,5,3,288.0
1,1,5,5,2,257.5
0,1,5,5,2,290.0
0,1,5,2,4,220.0
1,1,5,2,3,287.0
0,1,5,4,3,267.0
1,1,5,5,3,291.5
1,1,5,5,3,293.0
1,1,5,4,4,243.0
